Primary-general indicator,Candidate ID,Chamber Endorsed?,Main Street Endorsed?,Tea Party Endorsed?,House Freedom Support?,Koch Support?,Club for Growth Endorsed?,Susan B. Anthony Endorsed?,Right to Life Endorsed?,NRA Endorsed?,Great America Endorsed?,Bannon Endorsed?,Trump Endorsed?,Rep Party Support?,No Labels Support?,VoteVets Endorsed?,WFP Endorsed?,Indivisible Endorsed?,PCCC Endorsed?,Justice Dems Endorsed?,Our Revolution Endorsed?,Sanders Endorsed?,Warren Endorsed? ,Biden Endorsed?,Guns Sense Candidate?,Emily Endorsed?,Party Support?,Obama Alum?,STEM?,Self-Funder?,Elected Official?,LGBTQ?,Veteran?,Race,Won Primary,Primary %,Partisan Lean,General Status,Primary Runoff Status,Primary Status,Race Primary Election Date,Race Type,Office Type,District,State,Tot Donation Size
P2018,H8GA07144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,White,0,11.02,-12.73,0,0,0,5/22/18,Regular,Representative,U.S. House Georgia District 7,GA,1000
P2018,H8CA52136,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57,0.0,0,0,0,6/5/18,Regular,Representative,U.S. House California District 52,CA,2000
P2018,H8TX32098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,Nonwhite,1,38.43,-4.98,On the Ballot,1,1,3/6/18,Regular,Representative,U.S. House Texas District 32,TX,24860
P2018,H8NY23225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15.33,-13.93,0,0,0,6/26/18,Regular,Representative,U.S. House New York District 23,NY,1000
P2018,H8ND00096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56.22,0.0,On the Ballot,0,1,6/12/18,Regular,Representative,U.S. House North Dakota At-large District,ND,93450
P2018,S8AZ00247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9,0.0,0,0,0,8/28/18,Regular,Senator,U.S. Senate Arizona,AZ,731848
P2018,H4NE02054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,48.360001,-5.98,0,0,0,5/15/18,Regular,Representative,U.S. House Nebraska District 2,NE,142277
P2018,H8IA03124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,White,1,57.799999,-4.1100001000000015,On the Ballot,0,1,6/5/18,Regular,Representative,U.S. House Iowa District 3,IA,304134
P2018,H8OH12222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26,0.0,0,0,0,5/8/18,Regular,Representative,U.S. House Ohio District 12,OH,252170
P2018,H8OH12180,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.72,0.0,On the Ballot,0,1,5/8/18,Regular,Representative,U.S. House Ohio District 12,OH,2012958
